City,State,Region,Country,Post Code,Title,Creator,Owner,Value,Currency,Weighted value,Currency of Weighted value,Probability,Organization,Pipeline,Contact person,Stage,Deal created,Update time,Last stage change,Next activity date,Last activity date,Won time,Last email received,Last email sent,Lost time,Deal closed on,Expected close date,Status,Lost reason,Visible to,ID,Total activities,Done activities,Activities to do,Email messages count,Label,Product quantity,Product amount
San Francisco,California,San Francisco County,United States,94105,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 10:27:53,2021-05-19 02:06:14,2021-05-04 02:11:20,2021-06-16,2021-05-19,,2021-05-04 02:15:45,2021-05-04 02:27:32,,,,Open,,entire company,12359,2,0,2,0,,,
Sunnyvale,California,Santa Clara County,United States,94087,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 10:10:26,2021-05-24 06:03:49,2021-05-03 05:04:49,2021-06-22,2021-05-21,,2021-05-24 06:03:35,2021-05-24 03:29:52,,,,Open,,entire company,12358,3,2,1,1,,,
South River,New Jersey,Middlesex County,United States,08882,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 10:03:02,2021-05-20 01:34:32,2021-05-04 04:41:52,2021-06-10,2021-05-04,,,2021-05-04 06:52:15,,,,Open,,entire company,12357,2,1,1,1,,,
Mamaroneck,New York,Westchester County,United States,10543,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 09:59:50,2021-05-20 05:29:58,2021-05-04 04:27:07,2021-07-15,2021-05-20,,,2021-05-06 02:17:41,,,,Open,,entire company,12356,2,0,2,0,,,
Concord,California,Contra Costa County,United States,94519,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 09:39:41,2021-05-04 04:24:39,2021-05-04 04:21:57,2021-06-08,2021-05-04,,,2021-05-04 04:24:23,,,,Open,,entire company,12355,2,0,2,0,,,
Las Vegas,Nevada,Clark County,United States,89141,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 09:30:15,2021-05-20 22:22:26,2021-05-03 21:37:27,2021-05-28,2021-05-18,,,2021-05-03 21:43:41,,,,Open,,entire company,12354,2,1,1,0,,,
Ypsilanti,Michigan,Washtenaw County,United States,48197,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 08:40:15,2021-05-04 04:15:50,2021-05-04 04:01:42,2021-06-08,2021-05-04,,,2021-05-04 04:15:35,,,,Open,,entire company,12353,2,0,2,0,,,
Reading,Pennsylvania,Berks County,United States,19611,,Salesperson 3,Salesperson 3,7500,USD,0,USD,,,Sales,,Discussion,2021-05-03 08:22:52,2021-05-04 00:00:30,2021-05-04 00:00:02,2021-06-24,2021-05-04,,,2021-05-03 23:49:25,,,,Open,,entire company,12352,4,3,1,7,,,
Magalia,California,Butte County,United States,95954,,Salesperson 1,Salesperson 1,7500,USD,0,USD,,,Sales,,Discussion,2021-05-03 08:15:18,2021-05-25 05:41:30,2021-05-03 03:19:27,2021-05-26,2021-05-25,,,2021-05-03 03:19:09,,,,Open,,entire company,12351,3,2,1,4,,,
New York,New York,New York County,United States,10036,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 07:33:42,2021-05-04 03:41:00,2021-05-04 03:31:55,2021-06-08,2021-05-04,,,2021-05-04 03:40:56,,,,Open,,entire company,12350,2,0,2,0,,,
Nashville,Tennessee,Davidson County,United States,37080,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 07:32:59,2021-05-17 06:27:49,2021-05-03 00:57:12,2021-05-31,2021-05-17,,,2021-05-03 00:57:00,,,,Open,,entire company,12349,2,1,1,1,,,
Irvine,California,Orange County,United States,92604,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 07:23:21,2021-05-04 06:26:10,2021-05-04 06:23:15,2021-07-22,2021-05-04,,,2021-05-04 06:25:27,,,,Open,,entire company,12348,2,0,2,0,,,
Mount Olive Township,New Jersey,Morris County,United States,07828,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 06:19:32,2021-05-04 04:42:24,2021-05-04 01:57:02,2021-06-01,2021-05-04,,,2021-05-04 01:54:14,,,,Open,,entire company,12347,2,1,1,1,,,
Syracuse,New York,Onondaga County,United States,13203,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-03 06:10:36,2021-05-04 04:42:16,2021-05-04 03:28:48,2021-06-01,2021-05-04,,,2021-05-04 03:31:03,,,,Open,,entire company,12346,2,1,1,8,,,
Alameda,California,Alameda County,United States,94501,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 05:59:39,2021-05-04 05:44:51,2021-05-03 06:03:17,2021-06-01,2021-05-04,,,,,,,Open,,entire company,12345,3,2,1,2,,,
Los Angeles,California,Los Angeles County,United States,91352,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 05:54:12,2021-05-25 04:08:10,2021-05-05 01:17:44,2021-07-28,2021-05-25,,,2021-05-05 01:25:09,,,,Open,,entire company,12344,2,1,1,1,,,
Pleasantville,New Jersey,Atlantic County,United States,08232,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 05:33:32,2021-05-20 05:05:57,2021-05-04 06:42:14,2021-06-02,2021-05-04,,,2021-05-04 06:46:30,,,,Open,,entire company,12343,2,1,1,1,,,
Coral Springs,Florida,Broward County,United States,33065,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 05:11:12,2021-05-03 05:44:51,2021-05-03 05:20:47,2021-06-07,2021-05-03,,2021-05-03 05:24:21,2021-05-03 05:44:29,,,,Open,,entire company,12342,2,0,2,0,,,
Sea Cliff,New York,Nassau County,United States,11579,,Salesperson 1,Salesperson 1,11000,USD,0,USD,0,,Sales,,Quote,2021-05-03 04:43:05,2021-05-14 05:40:52,2021-05-04 02:58:36,2021-06-08,2021-05-04,,,2021-05-04 03:08:53,,,,Open,,entire company,12341,3,3,0,2,,,
Burbank,California,Los Angeles County,United States,91504,,Salesperson 6,Salesperson 6,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-03 04:19:04,2021-05-21 02:01:29,2021-05-03 05:12:14,2021-05-21,2021-05-18,,,2021-05-03 05:17:11,,,,Open,,entire company,12340,3,2,1,0,,,
Point Lookout,New York,Nassau County,United States,11569,,Salesperson 3,Salesperson 3,7500,USD,300,USD,,,Sales,,Discussion,2021-05-03 03:50:56,2021-05-17 06:39:30,2021-05-03 03:58:19,2021-05-31,2021-05-17,,,2021-05-03 03:58:05,,,,Open,,entire company,12339,7,6,1,10,,,
Miami,Florida,Miami-Dade County,United States,33186,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 03:18:45,2021-05-04 00:32:53,2021-05-04 00:30:43,2021-05-20,2021-05-04,,,2021-05-04 00:32:36,,,,Open,,entire company,12338,2,1,1,1,,,
Long Valley,New Jersey,Morris County,United States,07853,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 02:42:32,2021-05-17 20:59:57,2021-05-03 04:29:02,2021-06-01,2021-05-17,,,2021-05-03 04:42:27,,,,Open,,entire company,12337,1,0,1,0,,,
Harrison,New Jersey,Hudson County,United States,07029,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Quote,2021-05-03 02:41:21,2021-05-11 02:30:03,2021-05-03 23:23:40,2021-06-08,2021-05-11,,,2021-05-03 23:23:27,,,,Open,,entire company,12335,9,8,1,4,,,
Honolulu,Hawaii,Honolulu County,United States,96813,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-03 02:22:00,2021-05-11 02:04:23,2021-05-03 03:52:49,2021-06-07,2021-05-11,,,2021-05-03 03:52:36,,,,Open,,entire company,12334,5,4,1,2,,,
Stone Mountain,Georgia,DeKalb County,United States,30083,,Salesperson 1,Salesperson 1,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-03 01:39:29,2021-05-18 02:22:20,2021-05-03 05:14:29,2021-06-04,2021-05-04,,,2021-05-03 05:09:06,,,,Open,,entire company,12333,4,3,1,1,,,
Chichester,New York,Ulster County,United States,12416,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 00:55:05,2021-05-18 02:49:23,2021-05-03 05:07:21,2021-06-03,2021-05-03,,,2021-05-03 05:06:30,,,,Open,,entire company,12332,2,0,2,0,,,
Santa Cruz,California,Santa Cruz County,United States,95060,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 00:54:06,2021-05-11 04:16:59,2021-05-03 01:38:11,2021-07-07,2021-05-11,,,2021-05-03 01:41:29,,,,Open,,entire company,12331,2,0,2,0,,,
Riverdale,Georgia,Clayton County,United States,30296,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 00:52:12,2021-05-04 02:43:59,2021-05-03 00:57:07,2021-05-31,2021-05-03,,,,,,,Open,,entire company,12330,2,0,2,0,,,
Mount Pleasant,South Carolina,Charleston County,United States,29464,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-03 00:30:39,2021-05-23 11:06:57,2021-05-03 00:50:38,2021-06-30,2021-05-17,,2021-05-22 21:11:49,2021-05-16 20:57:28,,,,Open,,entire company,12329,1,0,1,0,,,
Carnegie,Pennsylvania,Allegheny County,United States,15106,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-03 00:13:16,2021-05-04 03:53:05,2021-05-04 03:44:13,,2021-05-04,2021-05-04 03:53:05,2021-05-03 00:10:08,,,2021-05-04 03:53:05,,Won,,entire company,12328,2,0,2,0,,,
White Plains,New York,Westchester County,United States,10604,,Salesperson 3,Salesperson 3,7500,USD,0,USD,,,Sales,,Discussion,2021-05-03 00:01:36,2021-05-17 07:19:05,2021-05-03 03:28:07,2021-05-26,2021-05-17,,,2021-05-03 03:27:55,,,,Open,,entire company,12327,10,9,1,11,,,
Bridgeport,Connecticut,Fairfield County,United States,06605,,Salesperson 3,Salesperson 3,7500,USD,300,USD,,,Sales,,Discussion,2021-05-02 22:34:12,2021-05-25 05:42:34,2021-05-03 05:05:59,2021-05-31,2021-05-19,,,2021-05-03 05:05:45,,,,Open,,entire company,12326,5,4,1,2,,,
Medford,New York,Suffolk County,United States,11763,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 20:04:29,2021-05-03 02:40:07,2021-05-03 02:40:07,2021-05-25,2021-05-03,,,2021-05-03 02:39:50,,,,Open,,entire company,12324,2,0,2,0,,,
San Francisco,California,San Francisco County,United States,94123,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 19:59:15,2021-05-14 02:12:53,2021-05-14 02:12:53,2021-07-01,2021-05-12,,,2021-05-03 02:38:01,,,,Open,,entire company,12323,3,2,1,1,,,
Woodbridge Township,New Jersey,Middlesex County,United States,08863,,Salesperson 3,Salesperson 3,7500,USD,300,USD,,,Sales,,Discussion,2021-05-02 19:41:28,2021-05-19 06:37:34,2021-05-04 06:39:23,2021-06-01,2021-05-18,,2021-05-07 11:10:11,2021-05-04 06:41:55,,,,Open,,entire company,12322,5,4,1,2,,,
Los Angeles,California,Los Angeles County,United States,90017,,Salesperson 6,Salesperson 6,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-02 17:25:05,2021-05-25 03:20:01,2021-05-03 04:44:17,2021-06-03,2021-05-25,,,2021-05-03 04:44:46,,,,Open,,entire company,12320,4,3,1,6,,,
El Monte,California,Los Angeles County,United States,91732,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 15:40:59,2021-05-03 04:00:47,2021-05-03 04:00:42,,2021-05-03,,,,2021-05-03 04:00:47,2021-05-03 04:00:47,,Lost,Unresponsive,entire company,12319,2,0,2,0,,,
Dallas,Texas,Dallas County,United States,75215,,Salesperson 3,Salesperson 3,7004.9,USD,3502.45,USD,50,,Sales,,Quote,2021-05-02 14:42:20,2021-05-20 05:23:50,2021-05-04 04:08:34,2021-06-10,2021-05-20,,,2021-05-04 05:46:21,,,,Open,,entire company,12318,10,9,1,14,,,
Henderson,Nevada,Clark County,United States,89074,,Salesperson 1,Salesperson 1,7500,USD,2250,USD,,,Sales,,Hot Pipeline,2021-05-02 14:03:23,2021-05-11 05:25:32,2021-05-03 05:13:52,2021-06-09,2021-05-11,,2021-05-11 00:38:26,2021-05-11 02:16:24,,,,Open,,entire company,12317,4,3,1,15,,,
Littleton,Colorado,Douglas County,United States,80125,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 13:18:00,2021-05-17 06:26:01,2021-05-03 00:42:48,2021-05-31,2021-05-17,,,2021-05-03 00:42:30,,,,Open,,entire company,12316,1,0,1,0,,,
Miami,Florida,Miami-Dade County,United States,33137,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-02 12:16:34,2021-05-25 03:12:24,2021-05-03 04:25:45,2021-06-30,2021-05-25,,,2021-05-03 04:25:34,,,,Open,,entire company,12315,6,6,0,3,,,
San Francisco,California,San Francisco County,United States,94103,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 12:12:25,2021-05-18 02:58:46,2021-05-03 04:24:05,,2021-05-07,,,2021-05-03 04:23:19,2021-05-18 02:58:46,2021-05-18 02:58:46,,Lost,Unresponsive,entire company,12313,4,3,1,1,,,
Hawthorne,California,Los Angeles County,United States,90251,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 12:03:07,2021-05-24 06:52:17,2021-05-03 04:35:54,,2021-05-24,,,,2021-05-24 06:52:17,2021-05-24 06:52:17,,Lost,Unresponsive,entire company,12312,2,0,2,0,,,
Atlantic City,New Jersey,Atlantic County,United States,08401,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-02 11:38:44,2021-05-03 04:06:38,2021-05-03 04:04:12,2021-05-25,2021-05-03,,,2021-05-03 04:05:57,,,,Open,,entire company,12311,3,2,1,1,,,
Port Jefferson Station,New York,Suffolk County,United States,11776,,Salesperson 3,Salesperson 3,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-02 11:28:34,2021-05-11 02:11:38,2021-05-03 04:50:29,2021-06-08,2021-05-10,,,2021-05-03 04:50:16,,,,Open,,entire company,12310,4,2,2,1,,,
Cerritos,California,Los Angeles County,United States,90703,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 11:13:39,2021-05-17 07:38:10,2021-05-03 04:18:40,2021-06-01,2021-05-03,,,2021-05-03 04:12:51,,,,Open,,entire company,12309,2,1,1,1,,,
Tucson,Arizona,Pima County,United States,85710,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 09:40:58,2021-05-04 06:38:49,2021-05-04 06:37:04,2021-07-06,2021-05-04,,,2021-05-04 06:38:43,,,,Open,,entire company,12308,2,0,2,0,,,
Mountain View,California,Santa Clara County,United States,94043,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 09:35:25,2021-05-22 19:45:31,2021-05-02 21:16:02,2021-05-28,2021-05-20,,,2021-05-02 21:17:40,,,,Open,,entire company,12307,2,0,2,0,,,
Newburgh,New York,Orange County,United States,12550,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 09:19:10,2021-05-04 02:44:02,2021-05-03 02:30:43,2021-05-26,2021-05-03,,,2021-05-03 02:30:27,,,,Open,,entire company,12306,1,0,1,0,,,
Sunnyvale,California,Santa Clara County,United States,94085,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-02 09:17:42,2021-05-04 00:01:12,,,2021-05-04,,,,2021-05-04 00:00:49,2021-05-04 00:00:49,,Lost,Wasn't serious,entire company,12305,2,2,0,0,,,
Albany,California,Alameda County,United States,94706,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 08:35:15,2021-05-22 22:40:06,2021-05-02 21:31:09,2021-06-09,2021-05-21,,,2021-05-02 21:30:42,,,,Open,,entire company,12304,3,2,1,1,,,
West Sacramento,California,Yolo County,United States,95605,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 08:34:11,2021-05-11 02:12:48,2021-05-03 04:59:02,2021-06-08,2021-05-11,,,2021-05-03 04:58:52,,,,Open,,entire company,12303,2,1,1,1,,,
Hackettstown,New Jersey,Warren County,United States,07840,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 07:33:45,2021-05-23 01:23:51,2021-05-04 00:23:55,2021-06-24,2021-05-18,,2021-05-22 15:29:27,2021-05-23 01:23:45,,,,Open,,entire company,12302,2,0,2,0,,,
New Paltz,New York,Ulster County,United States,12561,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 07:08:39,2021-05-03 04:00:00,2021-05-03 03:59:21,2021-05-25,2021-05-03,,,2021-05-03 03:59:26,,,,Open,,entire company,12301,2,0,2,0,,,
Mahopac Falls,New York,Putnam County,United States,10542,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 06:50:59,2021-05-03 02:22:35,2021-05-03 02:19:56,,2021-05-03,,,2021-05-03 02:22:01,2021-05-03 02:22:35,2021-05-03 02:22:35,,Lost,Unresponsive,entire company,12300,2,0,2,0,,,
Randolph,New Jersey,Morris County,United States,07869,,Salesperson 3,Salesperson 3,7500,USD,300,USD,,,Sales,,Discussion,2021-05-02 06:49:12,2021-05-17 21:01:43,2021-05-17 21:01:43,2021-06-01,2021-05-17,,,2021-05-02 21:56:56,,,,Open,,entire company,12299,8,7,1,3,,,
Fort Lauderdale,Florida,Broward County,United States,33308,,Salesperson 1,Salesperson 1,7500,USD,1500,USD,20,,Sales,,Discussion,2021-05-02 06:13:14,2021-05-19 19:23:16,2021-05-02 22:37:45,2021-05-27,2021-05-19,,,2021-05-02 22:39:51,,,,Open,,entire company,12298,4,3,1,1,,,
Los Angeles,California,Los Angeles County,United States,90020,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 06:09:51,2021-05-04 06:36:51,2021-05-04 06:34:12,2021-07-06,2021-05-04,,,2021-05-04 06:36:45,,,,Open,,entire company,12297,2,1,1,1,,,
Valhalla,New York,Westchester County,United States,10595,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 05:51:30,2021-05-06 02:48:59,2021-05-03 04:21:16,2021-05-26,2021-05-06,,,2021-05-03 04:19:14,,,,Open,,entire company,12296,3,2,1,1,,,
Babylon,New York,Suffolk County,United States,11702,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-02 04:59:02,2021-05-17 08:19:52,2021-05-03 03:51:12,2021-07-08,2021-05-17,,,2021-05-03 03:51:08,,,,Open,,entire company,12295,3,2,1,1,,,
Austin,Texas,Travis County,United States,78746,,Salesperson 6,Salesperson 6,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-02 03:37:33,2021-05-20 01:33:51,2021-05-04 04:04:05,2021-06-10,2021-05-04,,,2021-05-04 05:52:05,,,,Open,,entire company,12294,3,2,1,0,,,
Fredericksburg,Virginia,Spotsylvania County,United States,22407,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 02:59:36,2021-05-20 03:33:49,2021-05-19 05:29:36,2021-06-02,2021-05-11,,,2021-05-04 05:55:29,,,,Open,,entire company,12293,2,0,2,0,,,
Oakland,California,Alameda County,United States,94606,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-02 01:57:52,2021-05-03 04:38:55,2021-05-03 04:38:44,2021-05-31,2021-05-03,,,2021-05-03 04:38:35,,,,Open,,entire company,12292,1,1,0,0,,,
Haleiwa,Hawaii,Honolulu County,United States,96712,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-02 01:36:00,2021-05-11 05:06:13,2021-05-03 04:36:25,2021-06-08,2021-05-11,,,2021-05-03 04:36:06,,,,Open,,entire company,12291,2,0,2,0,,,
Boynton Beach,Florida,Palm Beach County,United States,33437,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-01 23:49:33,2021-05-03 04:10:25,2021-05-03 04:10:25,2021-05-31,2021-05-03,,,2021-05-03 04:09:34,,,,Open,,entire company,12290,6,5,1,5,,,
Rochelle Park,New Jersey,Bergen County,United States,07662,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-01 23:34:41,2021-05-11 02:10:19,2021-05-03 04:17:50,2021-06-08,2021-05-11,,,2021-05-03 04:17:41,,,,Open,,entire company,12289,4,3,1,1,,,
Placentia,California,Orange County,United States,92870,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 23:30:21,2021-05-21 02:02:33,2021-05-02 22:40:44,2021-06-04,2021-05-18,,,2021-05-02 22:43:27,,,,Open,,entire company,12288,1,0,1,0,,,
Matawan,New Jersey,Monmouth County,United States,07747,,Salesperson 3,Salesperson 3,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-01 23:01:02,2021-05-11 02:09:10,2021-05-03 04:15:01,2021-06-08,2021-05-11,,,2021-05-03 04:14:51,,,,Open,,entire company,12287,6,5,1,1,,,
Larkspur,California,Marin County,United States,94939,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 22:55:27,2021-05-04 05:28:42,2021-05-04 05:28:35,2021-07-22,2021-05-04,,,2021-05-04 05:28:25,,,,Open,,entire company,12286,2,0,2,0,,,
Los Angeles,California,Los Angeles County,United States,91406,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 22:22:44,2021-05-07 02:27:14,2021-05-04 00:26:49,2021-05-14,2021-05-04,,,2021-05-07 02:26:49,,,,Open,,entire company,12285,2,0,2,0,,,
Westminster,Maryland,Carroll County,United States,21157,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-01 22:07:09,2021-05-20 01:33:11,2021-05-04 04:00:22,2021-06-18,2021-05-18,,,2021-05-04 05:57:41,,,,Open,,entire company,12284,5,4,1,1,,,
Hillsdale,New Jersey,Bergen County,United States,07642,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 21:55:28,2021-05-11 02:25:22,2021-05-03 04:11:51,2021-06-08,2021-05-11,,,2021-05-03 04:10:31,,,,Open,,entire company,12283,3,2,1,1,,,
Los Angeles,California,Los Angeles County,United States,90026,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Discussion,2021-05-01 21:54:58,2021-05-04 06:35:50,2021-05-04 06:33:59,2021-05-20,2021-05-04,,,2021-05-04 06:35:26,,,,Open,,entire company,12282,3,2,1,4,,,
Santa Ana,California,Orange County,United States,92706,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 20:49:33,2021-05-04 06:12:18,2021-05-04 06:06:38,2021-06-10,2021-05-04,,,2021-05-04 06:11:15,,,,Open,,entire company,12280,2,0,2,0,,,
Castro Valley,California,Alameda County,United States,94546,,Salesperson 1,Salesperson 1,12000,USD,12000,USD,100,,Sales,,Hot Pipeline,2021-05-01 20:48:41,2021-05-03 03:58:13,2021-05-03 03:52:17,,2021-05-03,,2021-05-03 03:55:00,2021-05-03 03:54:55,2021-05-03 03:58:13,2021-05-03 03:58:13,,Lost,Unresponsive,entire company,12279,7,7,0,0,,,
Commack,New York,Suffolk County,United States,11725,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 19:42:50,2021-05-18 04:42:39,2021-05-03 04:05:38,2021-05-31,2021-05-17,,2021-05-18 04:42:30,2021-05-18 04:18:33,,,,Open,,entire company,12278,3,2,1,1,,,
San Francisco,California,San Francisco County,United States,94118,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 18:11:32,2021-05-20 05:22:26,2021-05-04 03:52:35,2021-06-03,2021-05-04,,,2021-05-04 05:50:27,,,,Open,,entire company,12275,3,2,1,1,,,
Salinas,California,Monterey County,United States,93901,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 17:13:41,2021-05-25 08:30:47,2021-05-03 04:08:07,2021-06-09,2021-05-18,,,2021-05-19 03:33:32,,,,Open,,entire company,12274,2,1,1,0,,,
San Jose,California,Santa Clara County,United States,95123,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 11:48:53,2021-05-03 03:42:00,2021-05-03 03:41:44,2021-05-19,2021-05-03,,,,2021-05-03 03:42:00,2021-05-03 03:42:00,,Lost,Unresponsive,entire company,12272,2,0,2,0,,,
Walworth,New York,Wayne County,United States,14568,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 06:30:33,2021-05-03 03:36:02,2021-05-03 03:33:15,2021-06-30,2021-05-03,,,,,,,Open,,entire company,12271,2,0,2,0,,,
Gardena,California,Los Angeles County,United States,90248,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 06:00:58,2021-05-05 03:46:47,2021-05-04 06:41:53,2021-05-27,2021-05-05,,,2021-05-04 06:41:42,,,,Open,,entire company,12270,2,1,1,1,,,
Hampton Bays,New York,Suffolk County,United States,11946,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 05:39:28,2021-05-04 06:20:14,2021-05-04 06:17:19,2021-05-27,2021-05-04,,,2021-05-04 06:19:55,,,,Open,,entire company,12269,2,0,2,0,,,
Philo,California,Mendocino County,United States,95466,,Salesperson 1,Salesperson 1,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-01 05:07:31,2021-05-11 02:05:53,2021-05-03 04:03:18,2021-06-07,2021-05-11,,,2021-05-03 04:03:09,,,,Open,,entire company,12268,4,3,1,1,,,
Tucson,Arizona,Pima County,United States,85706,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 04:45:23,2021-05-03 03:45:40,2021-05-03 03:45:22,,2021-05-03,,,,2021-05-03 03:45:39,2021-05-03 03:45:39,,Lost,Unresponsive,entire company,12267,2,1,1,1,,,
Crofton,Maryland,Anne Arundel County,United States,21114,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 04:19:55,2021-05-18 02:48:20,2021-05-03 04:08:27,2021-06-30,2021-05-05,,,2021-05-03 03:34:00,,,,Open,,entire company,12266,2,0,2,0,,,
Oakland,California,Alameda County,United States,94610,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-01 04:09:59,2021-05-17 06:37:46,2021-05-17 06:37:46,2022-05-16,2021-05-17,,,2021-05-03 03:41:13,,,,Open,,entire company,12265,4,4,0,1,,,
Myrtle Beach,South Carolina,Horry County,United States,29588,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-01 03:37:14,2021-05-04 06:16:33,2021-05-04 06:16:10,2021-05-27,2021-05-04,,,2021-05-04 06:16:07,,,,Open,,entire company,12264,2,0,2,0,,,
